Creating surface profile...
Computing temperature evolution...
V12.671 isualisation
         6551831 function calls (6505180 primitive calls) in 12.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1553    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:391(cached)
      333    0.000    0.000    0.012    0.000 utils.py:309(disp_len)
       92    0.001    0.000    0.012    0.000 __init__.py:1368(_preprocess_data)
        1    0.000    0.000    0.011    0.011 wavfile.py:1(<module>)
  379/360    0.000    0.000    0.011    0.000 typing.py:306(inner)
        8    0.000    0.000    0.011    0.001 base.py:1(<module>)
        1    0.000    0.000    0.011    0.011 python_parser.py:245(read)
      333    0.000    0.000    0.011    0.000 utils.py:305(_text_width)
        1    0.000    0.000    0.011    0.011 widgets.py:1(<module>)
      929    0.001    0.000    0.011    0.000 artist.py:1546(is_alias)
      408    0.003    0.000    0.011    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.011    0.011 axis3d.py:1(<module>)
      835    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      786    0.010    0.000    0.010    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.010    0.010 python_parser.py:338(_convert_data)
        1    0.001    0.001    0.010    0.010 base_parser.py:503(_convert_to_ndarrays)
20439/20426    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
     4050    0.005    0.000    0.010    0.000 artist.py:1559(aliased_name)
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
      409    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.009    0.009 solvers.py:1(<module>)
      314    0.001    0.000    0.009    0.000 overrides.py:170(decorator)
      882    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:169(__enter__)
    52653    0.009    0.000    0.009    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.009    0.009 series.py:1(<module>)
      100    0.002    0.000    0.009    0.000 artist.py:170(<listcomp>)
        3    0.000    0.000    0.009    0.003 numeric.py:1(<module>)
        1    0.000    0.000    0.009    0.009 iterative.py:1(<module>)
        2    0.000    0.000    0.009    0.004 array.py:1(<module>)
      917    0.006    0.000    0.009    0.000 inspect.py:2920(__init__)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 quiver.py:1(<module>)
      256    0.001    0.000    0.008    0.000 base_parser.py:662(_infer_types)
     1330    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
     4814    0.005    0.000    0.008    0.000 sheet.py:2219(unpack_RK)
      705    0.001    0.000    0.008    0.000 re.py:202(sub)
     6935    0.004    0.000    0.008    0.000 enum.py:359(__call__)
    25670    0.006    0.000    0.008    0.000 utils.py:306(<genexpr>)
     8617    0.007    0.000    0.008    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.008    0.002 version.py:1(<module>)
        2    0.000    0.000    0.008    0.004 testing.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
    73750    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
     1809    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       18    0.000    0.000    0.007    0.000 rcsetup.py:721(validate_cycler)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
      100    0.001    0.000    0.007    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.007    0.007 helpers.py:1(<module>)
      927    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     6484    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        3    0.000    0.000    0.007    0.002 datetimes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_tools.py:1(<module>)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
      111    0.000    0.000    0.007    0.000 std.py:345(print_status)
     1014    0.003    0.000    0.007    0.000 enum.py:89(__setitem__)
      836    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       47    0.000    0.000    0.006    0.000 __init__.py:1324(_add_data_doc)
        2    0.000    0.000    0.006    0.003 category.py:1(<module>)
        1    0.000    0.000    0.006    0.006 describe.py:1(<module>)
        1    0.006    0.006    0.006    0.006 sparsetools.py:1(<module>)
     1132    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.006    0.006 cm.py:33(_gen_cmap_registry)
  135/116    0.000    0.000    0.006    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.006    0.006 ewm.py:1(<module>)
       56    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
       11    0.000    0.000    0.006    0.001 __init__.py:108(import_module)
       11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.006    0.006 legend.py:1(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
    16102    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.006    0.002 patches.py:2184(__init_subclass__)
      116    0.000    0.000    0.006    0.000 typing.py:483(Union)
        6    0.000    0.000    0.006    0.001 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.006    0.006 hashing.py:1(<module>)
        1    0.000    0.000    0.006    0.006 frame.py:640(__init__)
     1221    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.006    0.006 _typing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 construction.py:411(dict_to_mgr)
     8540    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     3194    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x7f69137a70c0}
        2    0.000    0.000    0.005    0.003 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
     1436    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.005    0.001 patches.py:2230(<listcomp>)
      284    0.001    0.000    0.005    0.000 overrides.py:88(verify_matching_signatures)
        2    0.000    0.000    0.005    0.003 _misc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
      409    0.001    0.000    0.005    0.000 rcsetup.py:307(validate_color)
        2    0.000    0.000    0.005    0.003 categorical.py:1(<module>)
     1809    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.005    0.002 format.py:1(<module>)
      276    0.000    0.000    0.005    0.000 _decorators.py:384(<listcomp>)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      245    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
        1    0.000    0.000    0.005    0.005 decimal.py:1(<module>)
       11    0.000    0.000    0.005    0.000 core.py:1076(parse_string)
        1    0.000    0.000    0.005    0.005 font_manager.py:1(<module>)
        1    0.000    0.000    0.005    0.005 uuid.py:1(<module>)
      247    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
     6420    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
        4    0.000    0.000    0.005    0.001 _optional.py:91(import_optional_dependency)
      836    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       38    0.002    0.000    0.005    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.005    0.005 groupby.py:1(<module>)
      256    0.005    0.000    0.005    0.000 {pandas._libs.lib.maybe_convert_numeric}
      111    0.000    0.000    0.004    0.000 utils.py:317(disp_trim)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 construction.py:97(arrays_to_mgr)
        2    0.000    0.000    0.004    0.002 methods.py:48(add_flex_arithmetic_methods)
        9    0.000    0.000    0.004    0.000 core.py:5392(__init__)
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:73(_create_methods)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
     8809    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      412    0.000    0.000    0.004    0.000 colors.py:218(is_color_like)
        1    0.000    0.000    0.004    0.004 generic.py:226(NDFrame)
      194    0.000    0.000    0.004    0.000 abc.py:105(__new__)
     29/8    0.000    0.000    0.004    0.001 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.004    0.004 _io.py:1(<module>)
     1346    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     1809    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
