Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    39/37    0.000    0.000    0.127    0.003 lowering.py:866(lower_call)
       24    0.000    0.000    0.127    0.005 lowering.py:762(lower_getitem)
    39/37    0.000    0.000    0.125    0.003 lowering.py:1108(_lower_call_normal)
       22    0.000    0.000    0.117    0.005 arrayobj.py:441(getitem_arraynd_intp)
      299    0.001    0.000    0.117    0.000 pprint.py:57(pformat)
   685489    0.115    0.000    0.115    0.000 {built-in method numpy.asanyarray}
     9345    0.016    0.000    0.115    0.000 values.py:544(_to_string)
      299    0.001    0.000    0.115    0.000 pprint.py:155(pformat)
 6883/299    0.009    0.000    0.114    0.000 pprint.py:167(_format)
        3    0.000    0.000    0.111    0.037 generic.py:1(<module>)
        5    0.000    0.000    0.108    0.022 arrayobj.py:3888(_empty_nd_impl)
   684976    0.107    0.000    0.107    0.000 function_base.py:1315(_diff_dispatcher)
      990    0.004    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      218    0.001    0.000    0.106    0.000 typeinfer.py:699(__call__)
        1    0.000    0.000    0.105    0.105 _base.py:1464(__init__)
      990    0.102    0.000    0.102    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.101    0.025 functions.py:389(get_call_type)
        6    0.000    0.000    0.101    0.017 templates.py:1080(_get_signature)
        4    0.000    0.000    0.101    0.025 templates.py:1138(generic)
        1    0.000    0.000    0.101    0.101 contour.py:1(<module>)
        1    0.000    0.000    0.100    0.100 _xlrd.py:20(__init__)
        1    0.000    0.000    0.100    0.100 _base.py:519(__init__)
        1    0.000    0.000    0.100    0.100 _xlrd.py:43(load_workbook)
        1    0.000    0.000    0.100    0.100 __init__.py:84(open_workbook)
        1    0.000    0.000    0.100    0.100 book.py:59(open_workbook_xls)
       22    0.000    0.000    0.100    0.005 arrayobj.py:420(_getitem_array_generic)
      667    0.004    0.000    0.099    0.000 std.py:1147(__str__)
        1    0.000    0.000    0.099    0.099 arrayobj.py:4079(codegen)
  744/464    0.002    0.000    0.099    0.000 functools.py:961(__get__)
     6797    0.061    0.000    0.099    0.000 inspect.py:744(cleandoc)
35240/33658    0.010    0.000    0.098    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.097    0.097 book.py:717(get_sheets)
        1    0.000    0.000    0.097    0.097 book.py:696(get_sheet)
        1    0.030    0.030    0.097    0.097 sheet.py:789(read)
        1    0.000    0.000    0.097    0.097 backend_bases.py:1(<module>)
       17    0.000    0.000    0.095    0.006 codegen.py:732(add_llvm_module)
     6764    0.006    0.000    0.093    0.000 inspect.py:725(getdoc)
903280/900262    0.091    0.000    0.092    0.000 {built-in method builtins.len}
  323/148    0.000    0.000    0.092    0.001 context.py:153(refresh)
       17    0.001    0.000    0.092    0.005 codegen.py:651(_optimize_functions)
      667    0.019    0.000    0.091    0.000 std.py:352(format_meter)
     1151    0.010    0.000    0.088    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       25    0.001    0.000    0.087    0.003 arrayobj.py:342(basic_indexing)
       99    0.001    0.000    0.087    0.001 postproc.py:70(run)
        4    0.000    0.000    0.086    0.022 lowering.py:571(lower_setitem)
     8069    0.008    0.000    0.086    0.000 re.py:288(_compile)
     1407    0.002    0.000    0.083    0.000 cgutils.py:893(gep_inbounds)
        3    0.000    0.000    0.082    0.027 arrayobj.py:483(setitem_array)
        1    0.000    0.000    0.081    0.081 text.py:1(<module>)
     1408    0.006    0.000    0.081    0.000 cgutils.py:900(gep)
        3    0.000    0.000    0.078    0.026 decorators.py:1(<module>)
    55103    0.059    0.000    0.076    0.000 _idl.py:100(_read_long)
58123/9325    0.052    0.000    0.074    0.000 ir.py:313(_rec_list_vars)
        1    0.000    0.000    0.074    0.074 stencil.py:1(<module>)
      284    0.002    0.000    0.073    0.000 sre_compile.py:783(compile)
    13275    0.009    0.000    0.072    0.000 pprint.py:453(_repr)
      115    0.000    0.000    0.071    0.001 passmanagers.py:283(run)
      288    0.001    0.000    0.071    0.000 pprint.py:205(_pprint_dict)
     1147    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
1148/1147    0.004    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      213    0.001    0.000    0.069    0.000 artist.py:1426(__init__)
        3    0.000    0.000    0.069    0.023 arrayobj.py:1518(fancy_setslice)
        3    0.000    0.000    0.068    0.023 _base.py:1(<module>)
        2    0.000    0.000    0.068    0.034 collections.py:1(<module>)
      213    0.011    0.000    0.067    0.000 artist.py:1446(get_aliases)
     9202    0.019    0.000    0.067    0.000 instructions.py:13(__init__)
1122/1118    0.002    0.000    0.067    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      896    0.003    0.000    0.067    0.000 extending.py:127(decorate)
     2001    0.002    0.000    0.066    0.000 utils.py:309(disp_len)
     2202    0.003    0.000    0.064    0.000 abc.py:105(__new__)
       28    0.000    0.000    0.064    0.002 slicing.py:25(fix_slice)
     1475    0.003    0.000    0.064    0.000 builder.py:922(gep)
     7686    0.003    0.000    0.064    0.000 ir.py:346(list_vars)
        1    0.000    0.000    0.063    0.063 rcsetup.py:1(<module>)
