Creating surface profile...
Computing temperature evolution...
Visualisation
         4014645 function calls (3968377 primitive calls) in 6.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1616    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.010    0.010 describe.py:1(<module>)
  358/339    0.000    0.000    0.010    0.000 typing.py:306(inner)
      929    0.001    0.000    0.010    0.000 artist.py:1546(is_alias)
        2    0.000    0.000    0.010    0.005 interval.py:1(<module>)
     3469    0.010    0.000    0.010    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.010    0.001 base.py:1(<module>)
      415    0.010    0.000    0.010    0.000 {method 'findall' of 're.Pattern' objects}
21117/21104    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.009    0.005 array.py:1(<module>)
    27401    0.009    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     4050    0.004    0.000    0.009    0.000 artist.py:1559(aliased_name)
     1096    0.007    0.000    0.009    0.000 inspect.py:2920(__init__)
       78    0.001    0.000    0.009    0.000 _decorators.py:292(decorate)
        2    0.000    0.000    0.009    0.005 indexing.py:1(<module>)
      871    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     8071    0.005    0.000    0.009    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.009    0.009 mathtext.py:1(<module>)
        1    0.000    0.000    0.009    0.009 axis3d.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
      256    0.001    0.000    0.008    0.000 base_parser.py:681(_infer_types)
    54798    0.008    0.000    0.008    0.000 _misc.py:181(_datacopied)
     4814    0.005    0.000    0.008    0.000 sheet.py:2219(unpack_RK)
        1    0.000    0.000    0.008    0.008 solvers.py:1(<module>)
      100    0.002    0.000    0.008    0.000 artist.py:170(<listcomp>)
    52587    0.008    0.000    0.008    0.000 {built-in method builtins.min}
        3    0.000    0.000    0.008    0.003 datetimes.py:1(<module>)
        1    0.000    0.000    0.008    0.008 quiver.py:1(<module>)
      745    0.008    0.000    0.008    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _mathtext.py:1(<module>)
        1    0.000    0.000    0.008    0.008 platform.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
        2    0.000    0.000    0.007    0.004 categorical.py:1(<module>)
      709    0.001    0.000    0.007    0.000 re.py:202(sub)
       53    0.000    0.000    0.007    0.000 std.py:1164(__str__)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
     1430    0.004    0.000    0.007    0.000 functools.py:35(update_wrapper)
      914    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.007    0.007 __init__.py:322(_sanity_check)
        1    0.007    0.007    0.007    0.007 {method 'dot' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.007    0.004 testing.py:1(<module>)
       53    0.001    0.000    0.007    0.000 std.py:355(format_meter)
    73712    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
       93    0.000    0.000    0.007    0.000 enum.py:579(_get_mixins_)
       18    0.000    0.000    0.007    0.000 rcsetup.py:721(validate_cycler)
       93    0.000    0.000    0.007    0.000 enum.py:590(_find_data_type)
      100    0.001    0.000    0.006    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1714(Parser)
        3    0.000    0.000    0.006    0.002 concat.py:1(<module>)
    27399    0.006    0.000    0.006    0.000 function_base.py:866(_copy_dispatcher)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
    27400    0.006    0.000    0.006    0.000 function_base.py:1315(_diff_dispatcher)
      314    0.001    0.000    0.006    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.006    0.006 cm.py:33(_gen_cmap_registry)
        1    0.000    0.000    0.006    0.006 wavfile.py:1(<module>)
      257    0.000    0.000    0.006    0.000 _decorators.py:411(<listcomp>)
     6934    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.006    0.006 arraylike.py:1(<module>)
     8379    0.005    0.000    0.006    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.006    0.006 boolean.py:1(<module>)
     1815    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    27913    0.006    0.000    0.006    0.000 {built-in method numpy.asanyarray}
       47    0.000    0.000    0.006    0.000 __init__.py:1324(_add_data_doc)
        2    0.000    0.000    0.006    0.003 category.py:1(<module>)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
  127/108    0.000    0.000    0.005    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ewm.py:1(<module>)
        3    0.000    0.000    0.005    0.002 patches.py:2184(__init_subclass__)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:2226(pprint_styles)
      871    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
