Creating surface profile...
Computing temperature evolution...
Visualisation
         3801900 function calls (3755662 primitive calls) in 15.783 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       31    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1319(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:132(<listcomp>)
       19    0.000    0.000    0.000    0.000 __init__.py:134(check_shape)
       92    0.001    0.000    0.011    0.000 __init__.py:1349(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
       29    0.000    0.000    0.000    0.000 __init__.py:1361(_to_unmasked_float_array)
       30    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       31    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        6    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:1467(info)
       57    0.000    0.000    0.000    0.000 __init__.py:154(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:16(IntCastingNaNError)
        2    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:169(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
        8    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:173(check_getitem)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:176(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(__getattr__)
       28    0.000    0.000    0.000    0.000 __init__.py:1868(_str_equal)
       32    0.000    0.000    0.000    0.000 __init__.py:1879(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       33    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.002    0.002 __init__.py:195(_check_versions)
        4    0.000    0.000    0.000    0.000 __init__.py:195(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        2    0.000    0.000    0.000    0.000 __init__.py:198(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:205(NumbaUtilError)
       31    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2072(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:211(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:215(UTC)
        4    0.000    0.000    0.000    0.000 __init__.py:216(<dictcomp>)
       36    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullFrequencyError)
       27    0.000    0.000    0.000    0.000 __init__.py:220(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2270(_make_class_factory)
       36    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.003    0.003 __init__.py:2289(class_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2299(subcls)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       12    0.000    0.000    0.001    0.000 __init__.py:230(define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:232(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:240(DataError)
        1    0.000    0.000    0.000    0.000 __init__.py:241(set_testing_mode)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(SpecificationError)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       82    0.000    0.000    0.001    0.000 __init__.py:251(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        6    0.000    0.000    0.000    0.000 __init__.py:256(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:257(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
       12    0.000    0.000    0.000    0.000 __init__.py:271(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:272(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
      105    0.000    0.000    0.000    0.000 __init__.py:275(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:277(SettingWithCopyError)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:290(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:291(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:299(SettingWithCopyWarning)
        5    0.000    0.000    0.001    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:31(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:315(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
